title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 1975
Willow, Ron Howard, 1988
<<<<<<< HEAD
=======
Psycho, Alfred Hitchcock, 1960

>>>>>>> d7cb085c10e20573dec639c5d381281cd8dbb41d
